Transaction ID,Date,Customer ID,Gender,Age,Product Category,Quantity,Price per Unit,Total Amount,Age group
1,11/24/2023,CUST001,Male,34,Beauty,3,50,150,25-34
2,2/27/2023,CUST002,Female,26,Clothing,2,500,1000,25-34
3,1/13/2023,CUST003,Male,50,Electronics,1,30,30,45-54
4,5/21/2023,CUST004,Male,37,Clothing,1,500,500,35-44
5,5/6/2023,CUST005,Male,30,Beauty,2,50,100,25-34
6,4/25/2023,CUST006,Female,45,Beauty,1,30,30,45-54
7,3/13/2023,CUST007,Male,46,Clothing,2,25,50,45-54
8,2/22/2023,CUST008,Male,30,Electronics,4,25,100,25-34
9,12/13/2023,CUST009,Male,63,Electronics,2,300,600,55+
10,10/7/2023,CUST010,Female,52,Clothing,4,50,200,45-54
11,2/14/2023,CUST011,Male,23,Clothing,2,50,100,18-24
12,10/30/2023,CUST012,Male,35,Beauty,3,25,75,35-44
13,8/5/2023,CUST013,Male,22,Electronics,3,500,1500,18-24
14,1/17/2023,CUST014,Male,64,Clothing,4,30,120,55+
15,1/16/2023,CUST015,Female,42,Electronics,4,500,2000,35-44
16,2/17/2023,CUST016,Male,19,Clothing,3,500,1500,18-24
17,4/22/2023,CUST017,Female,27,Clothing,4,25,100,25-34
18,4/30/2023,CUST018,Female,47,Electronics,2,25,50,45-54
19,9/16/2023,CUST019,Female,62,Clothing,2,25,50,55+
20,11/5/2023,CUST020,Male,22,Clothing,3,300,900,18-24
21,1/14/2023,CUST021,Female,50,Beauty,1,500,500,45-54
22,10/15/2023,CUST022,Male,18,Clothing,2,50,100,18-24
23,4/12/2023,CUST023,Female,35,Clothing,4,30,120,35-44
24,11/29/2023,CUST024,Female,49,Clothing,1,300,300,45-54
25,12/26/2023,CUST025,Female,64,Beauty,1,50,50,55+
26,10/7/2023,CUST026,Female,28,Electronics,2,500,1000,25-34
27,8/3/2023,CUST027,Female,38,Beauty,2,25,50,35-44
28,4/23/2023,CUST028,Female,43,Beauty,1,500,500,35-44
29,8/18/2023,CUST029,Female,42,Electronics,1,30,30,35-44
30,10/29/2023,CUST030,Female,39,Beauty,3,300,900,35-44
31,5/23/2023,CUST031,Male,44,Electronics,4,300,1200,35-44
32,1/4/2023,CUST032,Male,30,Beauty,3,30,90,25-34
33,3/23/2023,CUST033,Female,50,Electronics,2,50,100,45-54
34,12/24/2023,CUST034,Female,51,Clothing,3,50,150,45-54
35,8/5/2023,CUST035,Female,58,Beauty,3,300,900,55+
36,6/24/2023,CUST036,Male,52,Beauty,3,300,900,45-54
37,5/23/2023,CUST037,Female,18,Beauty,3,25,75,18-24
38,3/21/2023,CUST038,Male,38,Beauty,4,50,200,35-44
39,4/21/2023,CUST039,Male,23,Clothing,4,30,120,18-24
40,6/22/2023,CUST040,Male,45,Beauty,1,50,50,45-54
41,2/22/2023,CUST041,Male,34,Clothing,2,25,50,25-34
42,2/17/2023,CUST042,Male,22,Clothing,3,300,900,18-24
43,7/14/2023,CUST043,Female,48,Clothing,1,300,300,45-54
44,2/19/2023,CUST044,Female,22,Clothing,1,25,25,18-24
45,7/3/2023,CUST045,Female,55,Electronics,1,30,30,55+
46,6/26/2023,CUST046,Female,20,Electronics,4,300,1200,18-24
47,11/6/2023,CUST047,Female,40,Beauty,3,500,1500,35-44
48,5/16/2023,CUST048,Male,54,Electronics,3,300,900,45-54
49,1/23/2023,CUST049,Female,54,Electronics,2,500,1000,45-54
